说明,本表给出论文图表与整理后 CSV 的一一对应关系；所有方法名称均使用论文口径。
Paper item,Experiment,CSV file
Tables 1--4,Main client-average ACC,主实验_ResNet.csv; 主实验_ConvNeXt.csv; 主实验_ViT-Tiny.csv; 主实验_Swin-Tiny.csv
Figure 3,Module-level ablation,消融.csv
Table 5 / Figure 4 left,DPRM internal ablation,诊断原型重建内部消融.csv
Table 6 / Figure 4 right,LPC internal ablation,长尾患病率校准内部消融.csv
Table 7,Prediction-collapse diagnostics,预测坍缩诊断.csv
Figure 5,Ultrasound predicted distribution,超声预测类别分布.csv
Figures 6--7,Hyperparameter sensitivity,超参数分析_诊断原型重建.csv; 超参数分析_长尾患病率校准.csv
Figure 8,Blood/ResNet output-probability t-SNE,tSNE输出概率坐标.csv
Appendix Table,Dataset statistics and samples,数据集统计.csv
