paper_item,label,manuscript_object,data_csv,source_file,included,note
Figure 1,fig:intro-collapse,Intro motivation diagram,figure_1_intro_collapse_metadata.csv,final_LAMP/figures/intro.png,yes,Conceptual non-numeric diagram; metadata CSV records source and status.
Figure 2,fig_method,LAMP-Merge method framework,figure_2_method_framework_metadata.csv,final_LAMP/figures/method.png,yes,Conceptual non-numeric framework diagram; metadata CSV records source and status.
Table 1--4,tab:client-avg-*,Main client-average result tables,excluded by request,final_LAMP/final.tex / final_LAMP/paper_data/csv/main_client_average_*.csv,no,User requested all paper tables/figures except the main tables.
Table 5,tab:diagnostic-internal-ablation,Internal ablation of diagnostic prototype reconstruction,table_5_diagnostic_internal_ablation.csv,final_LAMP/paper_data/csv/table_diagnostic_internal_ablation.csv,yes,Rows match current final.tex table.
Table 6,tab:prevalence-internal-ablation,Internal ablation of long-tail prevalence calibration,table_6_prevalence_internal_ablation.csv,final_LAMP/final.tex curated from ablation report,yes,Smoothed prevalence prior is omitted because it is not in current final.tex.
Figure 3,fig:dataset-ablation-acc,Dataset-level module ablation accuracy,figure_3_module_ablation_dataset_accuracy.csv,final_LAMP/paper_data/csv/figure_module_ablation_dataset_accuracy_4backbone.csv,yes,Five datasets; each dataset averages four backbones and three client counts.
Table 7,tab:collapse-key,Prediction-collapse diagnostic metrics,table_7_prediction_collapse_diagnostics.csv,final_LAMP/paper_data/csv/table_prediction_collapse_diagnostics.csv,yes,Averaged over five medical datasets and four backbones per dataset.
Figure 4,fig:visual-chaosheng_predict,Ultrasound predicted class distribution,figure_4_ultrasound_predicted_distribution.csv,final_LAMP/paper_data/csv/figure_predicted_distribution_ultrasound.csv,yes,Predicted/true distribution over eight ultrasound classes.
Figure 5 top,fig:mechanism-analysis,Full-scope hyperparameter sensitivity,figure_5a_hyperparameter_sensitivity_5x10_long.csv; figure_5a_hparam_diagnostic_prototype_gamma_by_s_5x10_matrix.csv; figure_5a_hparam_prevalence_tau_by_lambda_5x10_matrix.csv,My_merge_ret/reports/lamp_merge_hparam_interaction_full.csv,yes,Latest completed 5x10 grids: five gamma/tau curves and ten s/lambda points.
Figure 5 middle,fig:mechanism-analysis,Joint t-SNE of Blood/ResNet output-probability representations,figure_5b_tsne_blood_resnet_output_probability_coordinates.csv,final_LAMP/paper_data/csv/figure_tsne_blood_resnet_output_probability_coordinates.csv,yes,Each row is one test image under one method with probabilities and shared t-SNE coordinates.
Figure 5 bottom,fig:mechanism-analysis,Prototype geometry internal ablation,figure_5c_prototype_geometry_internal_ablation.csv,final_LAMP/paper_data/csv/figure_prototype_geometry_internal_ablation.csv,yes,"Contains D_pair, D_near, prototype consistency, and prototype-client alignment."
Appendix Figure,fig:dataset-examples,Representative dataset examples,appendix_figure_dataset_examples_metadata.csv,final_LAMP/figures/dataset_examples.png,yes,Qualitative image montage; metadata CSV records source and status.
